listid,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03,yasb
Tyler Gi#1,resistance,colossusstationmechanic,fireball,31,1,1,5,homingmissiles,,,,,,,,,,2,6,0,2,2,homingmissiles,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z352X186WW135WWW2WY351XW206WW134W244WW197WY380X100WWWWWY258XWW175WWW&sn=Random%20Squad&obs=
Tyler Gi#2,galacticempire,echo,tiephphantom,53,1,1,2,skilledbombardier,,,,,,,,,,2,3,2,3,4,skilledbombardier,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z186X38W32WY191X240WWW101WWWWY213XWWY200XWW88W&sn=Random%20Squad&obs=
unfassbarnathan#1,separatistalliance,generalgrievous,belbullab22starfighter,58,3,1,3,targetingcomputer,kraken,composure,,,,,,,,2,3,2,3,4,targetingcomputer,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z324XW98WWWY305X115W222W249WY343X99WWY324XWW235WWY344XWW165W&sn=Random%20Squad&obs=
VassalSeby#2,separatistalliance,chertek,nantexclassstarfighter,46,2,1,6,composure,outmaneuver,,,,,,,,,3,4,0,3,4,outmaneuver,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z356X115W126Y337X102W208WY309X98W208W249Y311X98W208W106Y306X131WWW229&sn=Random%20Squad&obs=
VassalSeby#2,separatistalliance,dfs311,vultureclassdroidfighter,31,2,1,7,grapplingstruts,protonrockets,,,,,,,,,2,3,0,2,1,protonrockets,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z356X115W126Y337X102W208WY309X98W208W249Y311X98W208W106Y306X131WWW229&sn=Random%20Squad&obs=
VassalSeby#2,separatistalliance,precisehunter,vultureclassdroidfighter,32,3,1,3,grapplingstruts,clustermissiles,targetingcomputer,,,,,,,,2,3,0,2,3,targetingcomputer,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z356X115W126Y337X102W208WY309X98W208W249Y311X98W208W106Y306X131WWW229&sn=Random%20Squad&obs=
VeryBadCheese#1,firstorder,pettyofficerthanisson,upsilonclassshuttle,87,8,1,1,jammingbeam,captainphasma,seasonednavigator,freelanceslicer,munitionsfailsafe,firecontrolsystem,hyperspacetrackingdata,advancedoptics,,,1,6,6,4,1,munitionsfailsafe,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z382X133W318W311WY281X185W186W183W59W30W12W113W108Y263XW177W&sn=Random%20Squad&obs=
VeryBadCheese#2,galacticrepublic,sinker,arc170starfighter,67,2,1,1,ahsokatano,munitionsfailsafe,,,,,,,,,1,6,3,3,3,munitionsfailsafe,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z280XWW253WW108Y319X98W108Y338XWWWWWY365XWWWWWW&sn=Random%20Squad&obs=
veyl#1,firstorder,quickdraw,tiesffighter,67,5,1,2,skilledbombardier,protonrockets,advancedsensors,proudtradition,biohexacryptcodes,,,,,,2,3,3,2,6,skilledbombardier,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z287X319W202W234W102Y243X319W202W102W88W111WY382XWW101W&sn=Random%20Squad&obs=
veyl#2,separatistalliance,gorgol,nantexclassstarfighter,37,1,1,1,delayedfuses,,,,,,,,,,3,4,0,3,2,delayedfuses,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z355XW236Y272XWWWWWWWW222Y279XWWY328XWW164WY337XWW&sn=Random%20Squad&obs=
VictoryOfEagles#2,scumandvillainy,talonbanecobra,kihraxzfighter,63,4,1,1,feedbackarray,homingmissiles,delayedfuses,debrisgambit,,,,,,,2,5,1,3,5,delayedfuses,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z119X118W100W94WWW236Y103XWW311WWWWW153W76Y156XWWW&sn=Random%20Squad&obs=
VictoryOfEagles#2,scumandvillainy,bobafett,firesprayclasspatrolcraft,105,3,1,8,agilegunner,magpulsewarheads,marauder,,,,,,,,2,6,4,3,5,agilegunner,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z119X118W100W94WWW236Y103XWW311WWWWW153W76Y156XWWW&sn=Random%20Squad&obs=
viedit#1,galacticrepublic,goji,btlbywing,56,3,1,7,r4p44,electroprotonbomb,hotshotgunner,,,,,,,,1,5,3,2,2,hotshotgunner,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z276XW241WW109Y363XWW86W226W235WY315XWWY339XWWWW109&sn=Random%20Squad&obs=
viedit#2,scumandvillainy,dacebonearm,hwk290lightfreighter,68,4,1,3,landocalrissian-crew,targetingcomputer,afterburners,moldycrow,,,,,,,2,3,2,2,4,targetingcomputer,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z113XW45WWW249W105W156Y146X138WWWW70WW149WWY154XWW98WW22W80WWW&sn=Random%20Squad&obs=
Vipcard3#1,rebelalliance,braylenstramm,asf01bwing,62,5,1,1,jammingbeam,stabilizedsfoils,delayedfuses,trajectorysimulator,marksmanship,,,,,,1,4,4,3,4,delayedfuses,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z73X125W114W12WWW236W313Y77X131WWWWW108Y46XWW40WWWY57XW&sn=Random%20Squad&obs=
Vipcard3#1,rebelalliance,norrawexley,arc170starfighter,68,2,1,1,munitionsfailsafe,squadleader,,,,,,,,,1,6,3,3,5,munitionsfailsafe,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z73X125W114W12WWW236W313Y77X131WWWWW108Y46XWW40WWWY57XW&sn=Random%20Squad&obs=
warmdown#2,galacticempire,seynmarana,tielnfighter,32,2,1,1,munitionsfailsafe,marksmanship,,,,,,,,,3,3,0,2,4,munitionsfailsafe,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z224X125W108Y177XWW100WY183XWWWY187XWWWWWY170XWW&sn=Random%20Squad&obs=
WesleyvW#1,scumandvillainy,ndrusuhlak,z95af4headhunter,40,4,1,1,deadmansswitch,ionmissiles,delayedfuses,swarmtactics,,,,,,,2,2,2,2,4,delayedfuses,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z156X132W101W93W236Y85X116W138W234W76W1WW95WY143XWW71WWY158XWWWY247XW&sn=Random%20Squad&obs=
WesleyvW#1,scumandvillainy,kavil,btla4ywing,73,6,1,2,genius,agilegunner,inertialdampeners,crackshot,plasmatorpedoes,ioncannonturret,,,,,1,6,2,2,5,genius,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z156X132W101W93W236Y85X116W138W234W76W1WW95WY143XWW71WWY158XWWWY247XW&sn=Random%20Squad&obs=
WesleyvW#2,rebelalliance,talasquadronpilot,z95af4headhunter,30,2,1,3,targetingcomputer,swarmtactics,,,,,,,,,2,2,2,2,2,targetingcomputer,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z72XW53W105W7W167Y56X132WW249Y60X40W37W236Y57X100WY14X74W&sn=Random%20Squad&obs=
WesleyvW#2,rebelalliance,kashyyykdefender,auzituckgunship,52,3,1,1,jynerso,informant,delayedfuses,,,,,,,,1,6,2,3,1,delayedfuses,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z72XW53W105W7W167Y56X132WW249Y60X40W37W236Y57X100WY14X74W&sn=Random%20Squad&obs=
wilhelmfors#2,galacticrepublic,goldsquadrontrooper,v19torrentstarfighter,28,1,1,3,targetingcomputer,,,,,,,,,,2,5,0,2,2,targetingcomputer,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z274X251WWWY365XW138W234WW6W69WY321XW249Y340XW234WWW6W211&sn=Random%20Squad&obs=
Will#2,resistance,kazudaxiono,fireball,64,6,1,6,coaxiumhyperfuel,concussionmissiles,staticdischargevanes,munitionsfailsafe,snapshot,kazsfireball,,,,,2,6,0,2,4,concussionmissiles,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378X256W99WW310W109W108W315Y346XWW135WWW312W236Y271X127W115WW206Y350XW178W192W165&sn=Random%20Squad&obs=
Will#2,resistance,logisticsdivisionpilot,resistancetransport,45,3,1,1,r1j5,delayedfuses,iontorpedoes,,,,,,,,1,5,3,2,1,delayedfuses,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378X256W99WW310W109W108W315Y346XWW135WWW312W236Y271X127W115WW206Y350XW178W192W165&sn=Random%20Squad&obs=
willhaigwood#2,separatistalliance,precisehunter,vultureclassdroidfighter,31,2,1,7,grapplingstruts,protonrockets,,,,,,,,,2,3,0,2,3,protonrockets,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z308X223WW229Y309X102W208WY357X122W131Y358XW&sn=Random%20Squad&obs=
Williarn#1,rebelalliance,hansolo-modifiedyt1300lightfreighter,modifiedyt1300lightfreighter,94,3,1,3,magpulsewarheads,targetingcomputer,swarmtactics,,,,,,,,1,8,5,3,6,targetingcomputer,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z26X116W138W136W0W109WWY42X132W311WWWWW249WY49X68WWW166W&sn=Random%20Squad&obs=
Wookieeoutrider#2,firstorder,omegasquadronace,tiefofighter,31,1,1,3,targetingcomputer,,,,,,,,,,3,3,1,2,3,targetingcomputer,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397X181W202WWWWY265XWY283XWWWY290X318WY267XWW249&sn=Random%20Squad&obs=
WookieShepherd#1,firstorder,commandermalarus,tiefofighter,42,2,1,1,munitionsfailsafe,intimidation,,,,,,,,,3,3,1,2,5,munitionsfailsafe,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z283X181WW136WY384X127WW98W164Y266X122WW108Y265XW&sn=Random%20Squad&obs=
Worst Coast Child#1,resistance,jarekyeager,fireball,34,1,1,1,munitionsfailsafe,,,,,,,,,,2,6,0,2,5,munitionsfailsafe,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X120W206WWY377XWWWW108WWY260XWW191WWWWW236Y389XW112WWWWW316WW&sn=Random%20Squad&obs=
Worst Coast Child#1,resistance,cobaltsquadronbomber,mg100starfortress,59,2,1,1,c3po-crew,delayedfuses,,,,,,,,,1,9,3,3,1,delayedfuses,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X120W206WWY377XWWWW108WWY260XWW191WWWWW236Y389XW112WWWWW316WW&sn=Random%20Squad&obs=
Worst Coast Child#2,separatistalliance,captainsear,belbullab22starfighter,61,3,1,1,delayedfuses,ta175,soullessone,,,,,,,,2,5,2,3,2,delayedfuses,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z329XW99WW105W237Y309XW208WY356XWY308X239W236W229Y311XWW105&sn=Random%20Squad&obs=
wpearce17#1,resistance,jophseastriker,t70xwing,52,2,1,1,integratedsfoils,munitionsfailsafe,,,,,,,,,2,4,3,3,3,munitionsfailsafe,,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z270X131WW311WY253XWW108W175WWWY349XWW30WY245XWWWWWWW&sn=Random%20Squad&obs=
wpearce17#2,scumandvillainy,lokrevenant,scurrgh6bomber,53,1,1,8,agilegunner,,,,,,,,,,1,6,4,3,2,agilegunner,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z119XW311WWWW108Y107XWW102W48W68WWWY146XWW76WWWW&sn=Random%20Squad&obs=
x77x#2,galacticrepublic,barrissoffee,delta7aethersprite,42,2,1,1,calibratedlasertargeting,instinctiveaim,,,,,,,,,3,3,1,2,4,instinctiveaim,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z330XWW134Y330X113W6W135Y341X134W30WWWY275X73WW200W&sn=Random%20Squad&obs=
XPav#1,galacticrepublic,wolffe,arc170starfighter,68,3,1,7,hotshotgunner,lonewolf,iontorpedoes,,,,,,,,1,6,3,3,4,hotshotgunner,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317X122W100WY342X124W135WW86WWY359X203WW135WWWWY321XW&sn=Random%20Squad&obs=
XPav#2,galacticempire,sigmasquadronace,tiephphantom,70,3,1,7,hotshotgunner,hullupgrade,advancedsensors,,,,,,,,2,4,2,3,4,hotshotgunner,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z201XW111W86W164Y175X123WW98W109Y188XWWWWWY193XWWWWWWW&sn=Random%20Squad&obs=
Yellow Snow Kangaroo#1,scumandvillainy,blacksunenforcer,starviperclassattackplatform,72,4,1,3,targetingcomputer,advancedsensors,virago,advprotontorpedoes,,,,,,,3,4,2,3,2,targetingcomputer,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z129XWW99W2WW166Y151X111W134WW163W249Y141XWWWWY143XWWWW&sn=Random%20Squad&obs=
YellowJacketPym#1,rebelalliance,landocalrissian-modifiedyt1300lightfreighter,modifiedyt1300lightfreighter,102,6,1,6,chopper-crew,protonrockets,tacticalscrambler,stealthdevice,outmaneuver,millenniumfalcon,,,,,1,8,5,3,5,outmaneuver,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z43X126W102WW23WW110W166W154Y14XWY21XWWWW&sn=Random%20Squad&obs=
zbbSkeletor#1,scumandvillainy,unkarplutt,quadrijettransferspacetug,44,3,1,2,landocalrissian-crew,inertialdampeners,advancedoptics,,,,,,,,2,5,0,2,2,inertialdampeners,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z142X186W45WW95WY92XW32W66W90W94W249W152Y87XW137WW78WW70WW108Y157XWWW&sn=Random%20Squad&obs=
zbbSkeletor#1,scumandvillainy,freightercaptain,customizedyt1300lightfreighter,77,6,1,3,gnkgonkdroid,zuckuss,veteranturretgunner,feedbackarray,targetingcomputer,landosmillenniumfalcon,,,,,1,8,3,2,1,targetingcomputer,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z142X186W45WW95WY92XW32W66W90W94W249W152Y87XW137WW78WW70WW108Y157XWWW&sn=Random%20Squad&obs=
zbbSkeletor#1,scumandvillainy,hiredgun,btla4ywing,52,4,1,1,proximitymines,bossk,munitionsfailsafe,dorsalturret,,,,,,,1,6,2,2,2,munitionsfailsafe,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z142X186W45WW95WY92XW32W66W90W94W249W152Y87XW137WW78WW70WW108Y157XWWW&sn=Random%20Squad&obs=
zbbSkeletor#2,rebelalliance,wardensquadronpilot,btls8kwing,54,3,1,2,perceptivecopilot,ionbombs,skilledbombardier,,,,,,,,1,6,3,2,2,skilledbombardier,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z67X72W35WW138WY69X256W40WW0WY53XWY20XWWW88W54W317WW&sn=Random%20Squad&obs=
ZorPrime#1,scumandvillainy,landocalrissian-escapecraft,escapecraft,33,1,1,4,cadbane,,,,,,,,,,2,2,2,2,4,cadbane,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z146X137WWW71WW109W149WWY140X132WWWWWY303X166Y156XW311WWY93XW20W&sn=Random%20Squad&obs=
Zyk#2,rebelalliance,captainrex,tielnfighter,31,1,1,1,delayedfuses,,,,,,,,,,3,3,0,2,2,delayedfuses,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z33XWWW61W109W140Y16X236Y45XWWWWWWY51XWW102&sn=Random%20Squad&obs=
Aaron#1,rebelalliance,norrawexley-btla4ywing,btla4ywing,79,3,0,0,lukeskywalker,elusive,plasmatorpedoes,,,,,,,,1,6,2,2,5,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z25X119WW234WWWW87Y70XW41W106W4W167Y56XWWY54XWW&sn=Random%20Squad&obs=
Aaron#1,rebelalliance,talasquadronpilot,z95af4headhunter,24,0,0,0,,,,,,,,,,,2,2,2,2,2,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z25X119WW234WWWW87Y70XW41W106W4W167Y56XWWY54XWW&sn=Random%20Squad&obs=
Aaron#1,rebelalliance,airencracken,z95af4headhunter,36,0,0,0,,,,,,,,,,,2,2,2,2,5,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z25X119WW234WWWW87Y70XW41W106W4W167Y56XWWY54XWW&sn=Random%20Squad&obs=
Aaron#2,galacticrepublic,swoop,v19torrentstarfighter,45,2,0,0,protonrockets,snapshot,,,,,,,,,2,5,0,2,3,,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317X256W102WY331XW240W214WY280XWWW252W106Y330XWW&sn=Random%20Squad&obs=
Aaron#2,galacticrepublic,dineeellberger,nabooroyaln1starfighter,46,2,0,0,r4p17,passivesensors,,,,,,,,,2,3,2,2,3,,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317X256W102WY331XW240W214WY280XWWW252W106Y330XWW&sn=Random%20Squad&obs=
Aaron#2,galacticrepublic,sinker,arc170starfighter,63,2,0,0,c110p,electronicbaffle,,,,,,,,,1,6,3,3,3,,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317X256W102WY331XW240W214WY280XWWW252W106Y330XWW&sn=Random%20Squad&obs=
Aaron#2,galacticrepublic,naboohandmaiden,nabooroyaln1starfighter,42,0,0,0,,,,,,,,,,,2,3,2,2,1,,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317X256W102WY331XW240W214WY280XWWW252W106Y330XWW&sn=Random%20Squad&obs=
Aaron T#1,firstorder,lieutenantlehuse,tiesffighter,44,2,0,0,passivesensors,fanatical,,,,,,,,,2,3,3,2,5,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z267X115WW108Y397X181WWWW240WY288X202WWW179WWWWY383X127WWW&sn=Random%20Squad&obs=
Aaron T#1,firstorder,starkillerbasepilot,upsilonclassshuttle,70,2,0,0,kyloren,biohexacryptcodes,,,,,,,,,1,6,6,4,2,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z267X115WW108Y397X181WWWW240WY288X202WWW179WWWWY383X127WWW&sn=Random%20Squad&obs=
Aaron T#1,firstorder,ember,tiebainterceptor,54,1,0,0,predator,,,,,,,,,,3,2,2,3,4,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z267X115WW108Y397X181WWWW240WY288X202WWW179WWWWY383X127WWW&sn=Random%20Squad&obs=
Aaron T#2,separatistalliance,darthmaul,sithinfiltrator,95,6,0,0,jammingbeam,gnkgonkdroid,clustermines,predictiveshot,tv94,iontorpedoes,,,,,1,6,4,3,5,,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X203W12W135WW32W316WWW223Y311XWW236Y334X75W232WWWWWW216W&sn=Random%20Squad&obs=
Aaron T#2,separatistalliance,countdooku,sithinfiltrator,75,3,0,0,autoblasters,sense,scimitar,,,,,,,,1,6,4,3,3,,,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X203W12W135WW32W316WWW223Y311XWW236Y334X75W232WWWWWW216W&sn=Random%20Squad&obs=
Aaron Thatcher#1,rebelalliance,lowhhrick,auzituckgunship,57,1,0,0,seasonednavigator,,,,,,,,,,1,6,2,3,3,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XW59WWY52XWWY29XW138WW0WWWY53XWY65XWWWW&sn=Random%20Squad&obs=
Aaron Thatcher#1,rebelalliance,greensquadronpilot,rz1awing,32,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XW59WWY52XWWY29XW138WW0WWWY53XWY65XWWWW&sn=Random%20Squad&obs=
Aaron Thatcher#1,rebelalliance,goldsquadronveteran,btla4ywing,39,2,0,0,chopper,ioncannonturret,,,,,,,,,1,6,2,2,3,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XW59WWY52XWWY29XW138WW0WWWY53XWY65XWWWW&sn=Random%20Squad&obs=
Aaron Thatcher#1,rebelalliance,phoenixsquadronpilot,rz1awing,29,0,0,0,,,,,,,,,,,3,2,2,2,1,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XW59WWY52XWWY29XW138WW0WWWY53XWY65XWWWW&sn=Random%20Squad&obs=
Aaron Thatcher#1,rebelalliance,herasyndulla,attackshuttle,38,0,0,0,,,,,,,,,,,2,3,1,3,5,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XW59WWY52XWWY29XW138WW0WWWY53XWY65XWWWW&sn=Random%20Squad&obs=
Aaron Thatcher#2,galacticrepublic,oddball-arc170starfighter,arc170starfighter,71,5,0,0,r4pastromech,freelanceslicer,shieldupgrade,experthandling,advprotontorpedoes,,,,,,1,6,4,3,5,,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338X120W134W30WW213W165Y340XWW30W89W213W236Y314XWW201W165&sn=Random%20Squad&obs=
Aaron Thatcher#2,galacticrepublic,macewindu,delta7aethersprite,71,2,0,0,delta7b,shieldupgrade,,,,,,,,,2,3,4,3,4,,,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338X120W134W30WW213W165Y340XWW30W89W213W236Y314XWW201W165&sn=Random%20Squad&obs=
Abel#1,galacticempire,scimitarsquadronpilot,tiesabomber,46,3,0,0,concussionmissiles,protonrockets,iontorpedoes,,,,,,,,2,6,0,2,2,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z228X108Y208X135W99W102WWWWY173XW111W311WY180XWW&sn=Random%20Squad&obs=
Abel#1,galacticempire,darthvader,tieadvancedx1,83,2,0,0,magpulsewarheads,advancedsensors,,,,,,,,,3,3,2,2,6,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z228X108Y208X135W99W102WWWWY173XW111W311WY180XWW&sn=Random%20Squad&obs=
Abel#1,galacticempire,turrphennir,tieininterceptor,42,0,0,0,,,,,,,,,,,3,3,0,3,4,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z228X108Y208X135W99W102WWWWY173XW111W311WY180XWW&sn=Random%20Squad&obs=
Abel#2,rebelalliance,kylekatarn,hwk290lightfreighter,74,5,0,0,leiaorgana,connernets,afterburners,selfless,moldycrow,,,,,,2,3,2,2,3,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z48X130W68W46WW105W156Y80X256W134W57WWW247Y75XW111WW13WWW&sn=Random%20Squad&obs=
Abel#2,rebelalliance,ibtisam,arc170starfighter,69,4,0,0,sabinewren,angleddeflectors,snapshot,advprotontorpedoes,,,,,,,1,6,2,3,3,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z48X130W68W46WW105W156Y80X256W134W57WWW247Y75XW111WW13WWW&sn=Random%20Squad&obs=
Abel#2,rebelalliance,bladesquadronveteran,asf01bwing,55,2,0,0,tractorbeam,advancedsensors,,,,,,,,,1,4,4,3,3,,,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z48X130W68W46WW105W156Y80X256W134W57WWW247Y75XW111WW13WWW&sn=Random%20Squad&obs=
Academy Kryger#1,galacticempire,fifthbrother,tieadvancedv1,51,2,0,0,brilliantevasion,magpulsewarheads,,,,,,,,,3,2,2,2,4,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z394X199WW311Y164X240W135W98W106W144W11Y181XWWY223XW249Y228X&sn=Random%20Squad&obs=
Academy Kryger#1,galacticempire,nusquadronpilot,alphaclassstarwing,54,6,0,0,ioncannon,xg1assaultconfiguration,clustermissiles,electronicbaffle,passivesensors,iontorpedoes,,,,,2,4,3,2,2,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z394X199WW311Y164X240W135W98W106W144W11Y181XWWY223XW249Y228X&sn=Random%20Squad&obs=
Academy Kryger#1,galacticempire,sabersquadronace,tieininterceptor,36,0,0,0,,,,,,,,,,,3,3,0,3,4,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z394X199WW311Y164X240W135W98W106W144W11Y181XWWY223XW249Y228X&sn=Random%20Squad&obs=
Academy Kryger#1,galacticempire,gideonhask,tielnfighter,33,1,0,0,targetingcomputer,,,,,,,,,,3,3,0,2,4,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z394X199WW311Y164X240W135W98W106W144W11Y181XWWY223XW249Y228X&sn=Random%20Squad&obs=
Academy Kryger#1,galacticempire,obsidiansquadronpilot,tielnfighter,23,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z394X199WW311Y164X240W135W98W106W144W11Y181XWWY223XW249Y228X&sn=Random%20Squad&obs=
Academy Kryger#2,firstorder,null,tiefofighter,30,0,0,0,,,,,,,,,,,3,3,1,2,0,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z290XWY382XWWWY381XWWWY259XWWW113WY269XW&sn=Random%20Squad&obs=
Academy Kryger#2,firstorder,holo,tiebainterceptor,54,0,0,0,,,,,,,,,,,3,2,2,3,5,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z290XWY382XWWWY381XWWWY259XWWW113WY269XW&sn=Random%20Squad&obs=
Academy Kryger#2,firstorder,majorvonreg,tiebainterceptor,57,0,0,0,,,,,,,,,,,3,2,2,3,6,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z290XWY382XWWWY381XWWWY259XWWW113WY269XW&sn=Random%20Squad&obs=
Academy Kryger#2,firstorder,zetasquadronsurvivor,tiesffighter,34,1,0,0,firecontrolsystem,,,,,,,,,,2,3,3,2,2,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z290XWY382XWWWY381XWWWY259XWWW113WY269XW&sn=Random%20Squad&obs=
Academy Kryger#2,firstorder,epsilonsquadroncadet,tiefofighter,25,0,0,0,,,,,,,,,,,3,3,1,2,1,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z290XWY382XWWWY381XWWWY259XWWW113WY269XW&sn=Random%20Squad&obs=
aceagain#1,firstorder,epsilonsquadroncadet,tiefofighter,30,1,0,0,primedthrusters,,,,,,,,,,3,3,1,2,1,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z269X178WY238XWWW37WWWW236Y233XWWY286XWW&sn=Random%20Squad&obs=
aceagain#1,firstorder,midnight,tiefofighter,42,0,0,0,,,,,,,,,,,3,3,1,2,6,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z269X178WY238XWWW37WWWW236Y233XWWY286XWW&sn=Random%20Squad&obs=
aceagain#1,firstorder,sienarjaemusengineer,tievnsilencer,51,0,0,0,,,,,,,,,,,3,4,2,3,1,,,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z269X178WY238XWWW37WWWW236Y233XWWY286XWW&sn=Random%20Squad&obs=
aceagain#2,scumandvillainy,fennrau,fangfighter,69,1,0,0,marksmanship,,,,,,,,,,3,4,0,3,6,,,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z97X125WY99X256W135Y398XWWWY113XWWWWWW&sn=Random%20Squad&obs=
