name,rank,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03
balindamood,128,scumandvillainy,miningguildsurveyor,modifiedtielnfighter,26,1,0,0,targetingcomputer,,,,,,,,,,3,3,0,2,2,,,,
balindamood,128,scumandvillainy,teltrevura,jumpmaster5000,55,2,0,0,advprotontorpedoes,punishingone,,,,,,,,,2,6,3,2,4,,,,
balindamood,128,scumandvillainy,captainseevor,modifiedtielnfighter,45,2,0,0,snapshot,stealthdevice,,,,,,,,,3,3,0,2,3,,,,
Aaron Daiter,128,resistance,resistancesympathizer,scavengedyt1300,79,2,0,0,leiaorgana-resistance,inertialdampeners,,,,,,,,,1,8,3,3,2,,,,
Aaron Daiter,128,resistance,jophseastriker,t70xwing,61,3,0,0,r2ha,integratedsfoils,ferrospherepaint,,,,,,,,2,4,3,3,3,,,,
Aaron Daiter,128,resistance,covanell,resistancetransport,59,3,0,0,ferrospherepaint,protontorpedoes,r4astromech,,,,,,,,1,5,3,2,4,,,,
Daniel Smith,128,separatistalliance,darthmaul,sithinfiltrator,88,3,0,0,plasmatorpedoes,countdooku,scimitar,,,,,,,,1,6,4,3,5,,,,
Daniel Smith,128,separatistalliance,technounionbomber,hyenaclassdroidbomber,40,2,0,0,plasmatorpedoes,proximitymines,,,,,,,,,2,5,0,2,1,,,,
Daniel Smith,128,separatistalliance,feethanottrawautopilot,belbullab22starfighter,39,1,0,0,imperviumplating,,,,,,,,,,2,3,2,3,1,,,,
Daniel Smith,128,separatistalliance,separatistbomber,hyenaclassdroidbomber,33,1,0,0,drk1probedroids,,,,,,,,,,2,5,0,2,3,,,,
Matthew LeCLair,128,scumandvillainy,lattsrazzi,yv666lightfreighter,82,9,0,0,marksmanship,jammingbeam,concussionmissiles,000,bobafett,bt1,feedbackarray,hullupgrade,houndstooth,,1,10,3,3,3,,,,
Matthew LeCLair,128,scumandvillainy,cartelspacer,m3ainterceptor,31,1,0,0,iontorpedoes,,,,,,,,,,3,3,1,2,1,,,,
Matthew LeCLair,128,scumandvillainy,graz,kihraxzfighter,57,3,0,0,marksmanship,inertialdampeners,staticdischargevanes,,,,,,,,2,5,1,3,4,,,,
Matthew LeCLair,128,scumandvillainy,sunnybounder,m3ainterceptor,27,0,0,0,,,,,,,,,,,3,3,1,2,1,,,,
Aaron Czajkowski,128,firstorder,captainphasma,tiesffighter,41,1,0,0,fanatical,,,,,,,,,,2,3,3,2,4,,,,
Aaron Czajkowski,128,firstorder,majorstridan,upsilonclassshuttle,70,1,0,0,deuteriumpowercells,,,,,,,,,,1,6,6,4,4,,,,
Aaron Czajkowski,128,firstorder,omegasquadronexpert,tiesffighter,34,0,0,0,,,,,,,,,,,2,3,3,2,3,,,,
Aaron Czajkowski,128,firstorder,quickdraw,tiesffighter,55,1,0,0,specialforcesgunner,,,,,,,,,,2,3,3,2,6,,,,
Charles Fletcher III,128,galacticrepublic,broadside,btlbywing,57,5,0,0,predator,ioncannonturret,plasmatorpedoes,r5astromech,synchronizedconsole,,,,,,1,5,3,2,3,,,,
Charles Fletcher III,128,galacticrepublic,tucker,v19torrentstarfighter,29,0,0,0,,,,,,,,,,,2,5,0,2,2,,,,
Charles Fletcher III,128,galacticrepublic,axe,v19torrentstarfighter,37,1,0,0,clustermissiles,,,,,,,,,,2,5,0,2,3,,,,
Charles Fletcher III,128,galacticrepublic,shadowsquadronveteran,btlbywing,50,4,0,0,dorsalturret,plasmatorpedoes,r3astromech,seismiccharges,,,,,,,1,5,3,2,3,,,,
Charles Fletcher III,128,galacticrepublic,bluesquadronprotector,v19torrentstarfighter,27,0,0,0,,,,,,,,,,,2,5,0,2,3,,,,
Matt Can,128,rebelalliance,ibtisam,arc170starfighter,52,1,0,0,r2d2,,,,,,,,,,1,6,3,3,3,,,,
Matt Can,128,rebelalliance,fennrau-sheathipedeclassshuttle,sheathipedeclassshuttle,50,0,0,0,,,,,,,,,,,2,4,1,2,6,,,,
Matt Can,128,rebelalliance,benthictwotubes,ut60duwing,54,2,0,0,perceptivecopilot,pivotwing,,,,,,,,,2,5,3,3,2,,,,
Matt Can,128,rebelalliance,kashyyykdefender,auzituckgunship,44,0,0,0,,,,,,,,,,,1,6,2,3,1,,,,
John Gardner ,128,galacticrepublic,oddball,v19torrentstarfighter,37,1,0,0,elusive,,,,,,,,,,2,5,0,2,5,,,,
John Gardner ,128,galacticrepublic,bluesquadronprotector,v19torrentstarfighter,28,1,0,0,crackshot,,,,,,,,,,2,5,0,2,3,,,,
John Gardner ,128,galacticrepublic,bluesquadronprotector,v19torrentstarfighter,27,0,0,0,,,,,,,,,,,2,5,0,2,3,,,,
John Gardner ,128,galacticrepublic,shadowsquadronveteran,btlbywing,32,0,0,0,,,,,,,,,,,1,5,3,2,3,,,,
John Gardner ,128,galacticrepublic,redsquadronbomber,btlbywing,30,0,0,0,,,,,,,,,,,1,5,3,2,2,,,,
John Gardner ,128,galacticrepublic,ahsokatano,delta7aethersprite,46,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,3,,,,
Romain Bonnet,128,firstorder,lieutenantrivas,tiefofighter,35,2,1,3,patternanalyzer,targetingcomputer,,,,,,,,,3,3,1,2,1,targetingcomputer,,,
Romain Bonnet,128,firstorder,recoil,tievnsilencer,71,2,0,0,primedthrusters,advprotontorpedoes,,,,,,,,,3,4,2,3,4,,,,
Romain Bonnet,128,firstorder,backdraft,tiesffighter,59,2,0,0,specialforcesgunner,advancedsensors,,,,,,,,,2,3,3,2,4,,,,
Romain Bonnet,128,firstorder,static,tiefofighter,33,0,0,0,,,,,,,,,,,3,3,1,2,4,,,,
Paul Adler,128,galacticrepublic,plokoon,delta7aethersprite,53,2,0,0,sense,calibratedlasertargeting,,,,,,,,,3,3,1,2,5,,,,
Paul Adler,128,galacticrepublic,padmeamidala,nabooroyaln1starfighter,56,2,0,0,r2c4,advprotontorpedoes,,,,,,,,,2,3,2,2,4,,,,
Paul Adler,128,galacticrepublic,matchstick,btlbywing,58,4,1,3,elusive,dorsalturret,iontorpedoes,targetingcomputer,,,,,,,1,5,3,2,4,targetingcomputer,,,
Paul Adler,128,galacticrepublic,shadowsquadronveteran,btlbywing,32,0,0,0,,,,,,,,,,,1,5,3,2,3,,,,
Luke Paulson,128,galacticempire,lieutenantkarsabi,alphaclassstarwing,46,2,0,0,passivesensors,concussionmissiles,,,,,,,,,2,4,3,2,3,,,,
Luke Paulson,128,galacticempire,coloneljendon,lambdaclasst4ashuttle,48,0,0,0,,,,,,,,,,,1,6,4,3,3,,,,
Luke Paulson,128,galacticempire,darthvader,tieadvancedx1,73,1,0,0,collisiondetector,,,,,,,,,,3,3,2,2,6,,,,
Luke Paulson,128,galacticempire,deathfire,tiesabomber,32,0,0,0,,,,,,,,,,,2,6,0,2,2,,,,
Chris Langland,128,firstorder,rush,tievnsilencer,64,1,0,0,protonrockets,,,,,,,,,,3,4,2,3,2,,,,
Chris Langland,128,firstorder,lieutenantrivas,tiefofighter,27,0,0,0,,,,,,,,,,,3,3,1,2,1,,,,
Chris Langland,128,firstorder,firstorderprovocateur,tiebainterceptor,45,0,0,0,,,,,,,,,,,3,2,2,3,3,,,,
Chris Langland,128,firstorder,pettyofficerthanisson,upsilonclassshuttle,64,1,0,0,captainphasma,,,,,,,,,,1,6,6,4,1,,,,
Matthew Deering,128,galacticempire,puresabacc,tieskstriker,53,2,0,0,seismiccharges,afterburners,,,,,,,,,2,4,0,3,4,,,,
Matthew Deering,128,galacticempire,deathfire,tiesabomber,34,1,1,2,skilledbombardier,,,,,,,,,,2,6,0,2,2,skilledbombardier,,,
Matthew Deering,128,galacticempire,captainoicunn,vt49decimator,85,1,0,0,emperorpalpatine,,,,,,,,,,0,12,4,3,3,,,,
Matthew Deering,128,galacticempire,sienarspecialist,tieagaggressor,26,0,0,0,,,,,,,,,,,2,4,1,2,2,,,,
Matt Stief,128,rebelalliance,lowhhrick,auzituckgunship,56,1,0,0,trickshot,,,,,,,,,,1,6,2,3,3,,,,
Matt Stief,128,rebelalliance,chopper,vcx100lightfreighter,68,0,0,0,,,,,,,,,,,0,10,4,4,2,,,,
Matt Stief,128,rebelalliance,knavesquadronescort,ewing,52,1,0,0,r4astromech,,,,,,,,,,3,3,3,3,2,,,,
Matt Stief,128,rebelalliance,talasquadronpilot,z95af4headhunter,24,0,0,0,,,,,,,,,,,2,2,2,2,2,,,,
"Maxime ""Maxx"" Clergue",128,firstorder,avenger,tievnsilencer,68,2,0,0,squadleader,ionmissiles,,,,,,,,,3,4,2,3,3,,,,
"Maxime ""Maxx"" Clergue",128,firstorder,scorch,tiefofighter,36,1,0,0,elusive,,,,,,,,,,3,3,1,2,4,,,,
"Maxime ""Maxx"" Clergue",128,firstorder,omegasquadronace,tiefofighter,28,0,0,0,,,,,,,,,,,3,3,1,2,3,,,,
"Maxime ""Maxx"" Clergue",128,firstorder,majorvonreg,tiebainterceptor,63,1,0,0,outmaneuver,,,,,,,,,,3,2,2,3,6,,,,
Josef Riccio,256,rebelalliance,arvelcrynyd,rz1awing,36,1,0,0,predator,,,,,,,,,,3,2,2,2,3,,,,
Josef Riccio,256,rebelalliance,herasyndulla,attackshuttle,47,3,0,0,predator,leiaorgana,phantom,,,,,,,,2,3,1,3,5,,,,
Josef Riccio,256,rebelalliance,ibtisam,arc170starfighter,60,1,0,0,ezrabridger,,,,,,,,,,1,6,3,3,3,,,,
Josef Riccio,256,rebelalliance,wedgeantilles,t65xwing,55,1,0,0,servomotorsfoils,,,,,,,,,,2,4,2,3,6,,,,
tigris,256,resistance,pammichnerrogoode,resistancetransport,62,5,0,0,plasmatorpedoes,informant,tacticalofficer,r5x3,munitionsfailsafe,,,,,,1,5,3,2,3,,,,
tigris,256,resistance,bluesquadronrookie,t70xwing,57,5,0,0,r5astromech,integratedsfoils,patternanalyzer,blackone,ionmissiles,,,,,,2,4,3,3,1,,,,
tigris,256,resistance,poedameron,t70xwing,79,3,0,0,r2astromech,integratedsfoils,advancedoptics,,,,,,,,2,4,3,3,6,,,,
Dylan Emde,256,scumandvillainy,dalanoberos-starviperclassattackplatform,starviperclassattackplatform,79,4,1,3,outmaneuver,advancedsensors,iontorpedoes,targetingcomputer,,,,,,,3,4,1,3,4,targetingcomputer,,,
Dylan Emde,256,scumandvillainy,jakkugunrunner,quadrijettransferspacetug,37,3,2,2,primedthrusters,inertialdampeners,munitionsfailsafe,,,,,,,,2,5,0,2,1,inertialdampeners,munitionsfailsafe,,
Dylan Emde,256,scumandvillainy,l337-escapecraft,escapecraft,38,2,0,0,debrisgambit,landocalrissian-crew,,,,,,,,,2,2,2,2,2,,,,
Dylan Emde,256,scumandvillainy,binayrepirate,z95af4headhunter,23,1,0,0,inertialdampeners,,,,,,,,,,2,2,2,2,1,,,,
Dylan Emde,256,scumandvillainy,miningguildsurveyor,modifiedtielnfighter,23,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Magne Gudmundsen,256,firstorder,avenger,tievnsilencer,62,1,0,0,advprotontorpedoes,,,,,,,,,,3,4,2,3,3,,,,
Magne Gudmundsen,256,firstorder,rush,tievnsilencer,66,1,0,0,plasmatorpedoes,,,,,,,,,,3,4,2,3,2,,,,
Magne Gudmundsen,256,firstorder,majorvonreg,tiebainterceptor,70,2,0,0,targetingsynchronizer,protonrockets,,,,,,,,,3,2,2,3,6,,,,
Brett Freeman,256,galacticrepublic,104thbattalionpilot,arc170starfighter,45,1,0,0,freelanceslicer,,,,,,,,,,1,6,3,3,2,,,,
Brett Freeman,256,galacticrepublic,jediknight,delta7aethersprite,64,3,0,0,heightenedperception,c110p,delta7b,,,,,,,,2,3,3,3,3,,,,
Brett Freeman,256,galacticrepublic,padmeamidala,nabooroyaln1starfighter,55,2,0,0,r4pastromech,advprotontorpedoes,,,,,,,,,2,3,2,2,4,,,,
Brett Freeman,256,galacticrepublic,kickback,v19torrentstarfighter,33,0,0,0,,,,,,,,,,,2,5,0,2,4,,,,
judealan,256,galacticempire,vagabond,tieskstriker,46,2,0,0,lonewolf,ionbombs,,,,,,,,,2,4,0,3,2,,,,
judealan,256,galacticempire,onyxsquadronscout,tieagaggressor,28,0,0,0,,,,,,,,,,,2,4,1,2,3,,,,
judealan,256,galacticempire,omicrongrouppilot,lambdaclasst4ashuttle,47,2,1,2,firecontrolsystem,electronicbaffle,,,,,,,,,1,6,4,3,1,firecontrolsystem,,,
judealan,256,galacticempire,deathrain,tiecapunisher,47,1,0,0,seismiccharges,,,,,,,,,,1,6,3,2,4,,,,
judealan,256,galacticempire,lieutenantkestal,tieagaggressor,31,0,0,0,,,,,,,,,,,2,4,1,2,4,,,,
Gabriel Dennis,256,galacticrepublic,sinker,arc170starfighter,88,5,0,0,plasmatorpedoes,gnkgonkdroid,veterantailgunner,r2astromech,staticdischargevanes,,,,,,1,6,3,3,3,,,,
Gabriel Dennis,256,galacticrepublic,104thbattalionpilot,arc170starfighter,42,0,0,0,,,,,,,,,,,1,6,3,3,2,,,,
Gabriel Dennis,256,galacticrepublic,anakinskywalker,delta7aethersprite,67,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,6,,,,
Sebon,256,firstorder,avenger,tievnsilencer,69,2,0,0,primedthrusters,iontorpedoes,,,,,,,,,3,4,2,3,3,,,,
Sebon,256,firstorder,firstorderprovocateur,tiebainterceptor,53,1,0,0,shieldupgrade,,,,,,,,,,3,2,3,3,3,,,,
Sebon,256,firstorder,lieutenantrivas,tiefofighter,27,0,0,0,,,,,,,,,,,3,3,1,2,1,,,,
Sebon,256,firstorder,firstorderprovocateur,tiebainterceptor,50,1,0,0,patternanalyzer,,,,,,,,,,3,2,2,3,3,,,,
Nathan Long,256,firstorder,recoil,tievnsilencer,64,1,0,0,snapshot,,,,,,,,,,3,4,2,3,4,,,,
Nathan Long,256,firstorder,majorvonreg,tiebainterceptor,68,2,0,0,proudtradition,deuteriumpowercells,,,,,,,,,3,2,2,3,6,,,,
Nathan Long,256,firstorder,holo,tiebainterceptor,65,2,0,0,daredevil,deuteriumpowercells,,,,,,,,,3,2,2,3,5,,,,
Johnn Crane,256,firstorder,null,tiefofighter,37,1,0,0,hullupgrade,,,,,,,,,,3,4,1,2,0,,,,
Johnn Crane,256,firstorder,majorstridan,upsilonclassshuttle,85,5,0,0,deuteriumpowercells,patternanalyzer,captainphasma,autoblasters,firecontrolsystem,,,,,,1,6,6,4,4,,,,
Johnn Crane,256,firstorder,sienarjaemusengineer,tievnsilencer,51,0,0,0,,,,,,,,,,,3,4,2,3,1,,,,
Johnn Crane,256,firstorder,epsilonsquadroncadet,tiefofighter,25,0,0,0,,,,,,,,,,,3,3,1,2,1,,,,
gregkash,256,galacticempire,captainferoph,tiereaper,56,3,0,0,marksmanship,informant,hullupgrade,,,,,,,,1,7,2,3,3,,,,
gregkash,256,galacticempire,nusquadronpilot,alphaclassstarwing,48,4,0,0,advprotontorpedoes,protonrockets,advancedslam,os1arsenalloadout,,,,,,,2,4,3,2,2,,,,
gregkash,256,galacticempire,gammasquadronace,tiesabomber,50,3,1,3,plasmatorpedoes,barragerockets,targetingcomputer,,,,,,,,2,6,0,2,3,targetingcomputer,,,
gregkash,256,galacticempire,idenversio,tielnfighter,41,0,0,0,,,,,,,,,,,3,3,0,2,4,,,,
Eric Maynard,256,firstorder,longshot,tiefofighter,33,1,0,0,fanatical,,,,,,,,,,3,3,1,2,3,,,,
Eric Maynard,256,firstorder,starkillerbasepilot,upsilonclassshuttle,73,4,0,0,advancedoptics,captainphasma,freelanceslicer,tractorbeam,,,,,,,1,6,6,4,2,,,,
Eric Maynard,256,firstorder,tn3465,tiefofighter,33,1,0,0,patternanalyzer,,,,,,,,,,3,3,1,2,2,,,,
Eric Maynard,256,firstorder,firstorderprovocateur,tiebainterceptor,60,2,0,0,protonrockets,shieldupgrade,,,,,,,,,3,2,3,3,3,,,,
Dan Mercer,256,galacticempire,vizier,tiereaper,67,3,0,0,directorkrennic,darthvader,shieldupgrade,,,,,,,,1,6,3,3,2,,,,
Dan Mercer,256,galacticempire,deltasquadronpilot,tieddefender,78,2,0,0,heavylasercannon,magpulsewarheads,,,,,,,,,3,3,4,3,1,,,,
Dan Mercer,256,galacticempire,omicrongrouppilot,lambdaclasst4ashuttle,54,2,0,0,cienaree,informant,,,,,,,,,1,6,4,3,1,,,,
Kenny Turner,256,rebelalliance,chopper,vcx100lightfreighter,74,2,0,0,chewbacca,tacticalscrambler,,,,,,,,,0,10,4,4,2,,,,
Kenny Turner,256,rebelalliance,ibtisam,arc170starfighter,73,3,0,0,protontorpedoes,perceptivecopilot,r2d2,,,,,,,,1,6,3,3,3,,,,
Kenny Turner,256,rebelalliance,esegetuketu,btls8kwing,52,1,0,0,barragerockets,,,,,,,,,,1,6,3,2,3,,,,
Rory Wilson ,256,resistance,nodinchavdri,resistancetransport,49,3,0,0,tractorbeam,iontorpedoes,hansolo-crew,,,,,,,,1,5,3,2,2,,,,
Rory Wilson ,256,resistance,r1j5,fireball,38,3,1,5,homingmissiles,coaxiumhyperfuel,kazsfireball,,,,,,,,2,6,0,2,1,homingmissiles,,,
Rory Wilson ,256,resistance,finchdallow,mg100starfortress,68,2,0,0,firecontrolsystem,targetingsynchronizer,,,,,,,,,1,9,3,3,4,,,,
Rory Wilson ,256,resistance,redsquadronexpert,t70xwing,44,1,0,0,integratedsfoils,,,,,,,,,,2,4,3,3,3,,,,
Mike Wnek,256,rebelalliance,mirandadoni,btls8kwing,67,2,0,0,protontorpedoes,electroprotonbomb,,,,,,,,,1,6,3,2,4,,,,
Mike Wnek,256,rebelalliance,knavesquadronescort,ewing,62,3,0,0,firecontrolsystem,r3astromech,hullupgrade,,,,,,,,3,4,3,3,2,,,,
Mike Wnek,256,rebelalliance,wullffwarro,auzituckgunship,68,1,0,0,kananjarrus,,,,,,,,,,1,6,2,3,4,,,,
steve mclean,256,rebelalliance,norrawexley-btla4ywing,btla4ywing,50,2,0,0,dorsalturret,iontorpedoes,,,,,,,,,1,6,2,2,5,,,,
steve mclean,256,rebelalliance,sabinewren-tielnfighter,tielnfighter,37,1,0,0,shieldupgrade,,,,,,,,,,3,3,1,2,3,,,,
steve mclean,256,rebelalliance,ibtisam,arc170starfighter,53,1,0,0,leiaorgana,,,,,,,,,,1,6,3,3,3,,,,
steve mclean,256,rebelalliance,wedgeantilles,t65xwing,55,1,0,0,servomotorsfoils,,,,,,,,,,2,4,2,3,6,,,,
william wooldridge,256,scumandvillainy,viktorhel,kihraxzfighter,46,1,0,0,deadmansswitch,,,,,,,,,,2,5,1,3,4,,,,
william wooldridge,256,scumandvillainy,spicerunner,hwk290lightfreighter,60,2,0,0,maul,moldycrow,,,,,,,,,2,3,2,2,1,,,,
william wooldridge,256,scumandvillainy,kavil,btla4ywing,48,1,0,0,ioncannonturret,,,,,,,,,,1,6,2,2,5,,,,
william wooldridge,256,scumandvillainy,graz,kihraxzfighter,46,0,0,0,,,,,,,,,,,2,5,1,3,4,,,,
Noah Hallett,256,scumandvillainy,zealousrecruit,fangfighter,41,0,0,0,,,,,,,,,,,3,4,0,3,1,,,,
Noah Hallett,256,scumandvillainy,palobgodalhi,hwk290lightfreighter,62,2,0,0,cloakingdevice,moldycrow,,,,,,,,,2,3,2,2,3,,,,
Noah Hallett,256,scumandvillainy,binayrepirate,z95af4headhunter,22,0,0,0,,,,,,,,,,,2,2,2,2,1,,,,
Noah Hallett,256,scumandvillainy,graz,kihraxzfighter,52,1,0,0,outmaneuver,,,,,,,,,,2,5,1,3,4,,,,
Noah Hallett,256,scumandvillainy,binayrepirate,z95af4headhunter,22,0,0,0,,,,,,,,,,,2,2,2,2,1,,,,
mad_chemist,256,galacticempire,countessryad,tieddefender,89,1,0,0,juke,,,,,,,,,,3,3,4,3,4,,,,
mad_chemist,256,galacticempire,tomaxbren,tiesabomber,38,1,0,0,seismiccharges,,,,,,,,,,2,6,0,2,5,,,,
mad_chemist,256,galacticempire,countdown,tieskstriker,44,0,0,0,,,,,,,,,,,2,4,0,3,4,,,,
mad_chemist,256,galacticempire,wampa,tielnfighter,29,0,0,0,,,,,,,,,,,3,3,0,2,1,,,,
Joel Springle,256,galacticempire,countdown,tieskstriker,59,3,0,0,swarmtactics,connernets,shieldupgrade,,,,,,,,2,4,1,3,4,,,,
Joel Springle,256,galacticempire,alphasquadronpilot,tieininterceptor,46,2,0,0,stealthdevice,hullupgrade,,,,,,,,,3,4,0,3,1,,,,
Joel Springle,256,galacticempire,scarifbasepilot,tiereaper,63,3,1,1,seventhsister,darthvader,munitionsfailsafe,,,,,,,,1,6,2,3,1,munitionsfailsafe,,,
Joel Springle,256,galacticempire,delmeeko,tielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,4,,,,
Doug Howe,256,firstorder,rush,tievnsilencer,74,2,0,0,advancedoptics,protontorpedoes,,,,,,,,,3,4,2,3,2,,,,
Doug Howe,256,firstorder,holo,tiebainterceptor,68,3,0,0,swarmtactics,advancedoptics,magpulsewarheads,,,,,,,,3,2,2,3,5,,,,
Doug Howe,256,firstorder,captainphasma,tiesffighter,58,4,0,0,swarmtactics,concussionmissiles,hotshotgunner,passivesensors,,,,,,,2,3,3,2,4,,,,
trej,256,firstorder,sienarjaemusengineer,tievnsilencer,65,2,0,0,primedthrusters,plasmatorpedoes,,,,,,,,,3,4,2,3,1,,,,
trej,256,firstorder,omegasquadronace,tiefofighter,28,0,0,0,,,,,,,,,,,3,3,1,2,3,,,,
trej,256,firstorder,captainphasma,tiesffighter,49,1,0,0,specialforcesgunner,,,,,,,,,,2,3,3,2,4,,,,
trej,256,firstorder,starkillerbasepilot,upsilonclassshuttle,58,0,0,0,,,,,,,,,,,1,6,6,4,2,,,,
Matt McAllister ,256,rebelalliance,gavindarklighter,ewing,77,2,0,0,protontorpedoes,r3astromech,,,,,,,,,3,3,3,3,4,,,,
Matt McAllister ,256,rebelalliance,bluesquadronescort,t65xwing,40,1,0,0,servomotorsfoils,,,,,,,,,,2,4,2,3,2,,,,
Matt McAllister ,256,rebelalliance,ezrabridger-tielnfighter,tielnfighter,36,1,0,0,sense,,,,,,,,,,3,3,0,2,3,,,,
Matt McAllister ,256,rebelalliance,herasyndulla,attackshuttle,47,2,0,0,debrisgambit,ioncannonturret,,,,,,,,,2,3,1,3,5,,,,
Bohan Li,256,rebelalliance,roguesquadronescort,ewing,56,1,0,0,r3astromech,,,,,,,,,,3,3,3,3,4,,,,
Bohan Li,256,rebelalliance,captainrex,tielnfighter,30,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Bohan Li,256,rebelalliance,arvelcrynyd,rz1awing,34,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Bohan Li,256,rebelalliance,bodhirook,ut60duwing,55,2,0,0,leiaorgana,pivotwing,,,,,,,,,2,5,3,3,4,,,,
Bohan Li,256,rebelalliance,zeborrelios-tielnfighter,tielnfighter,24,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Rinehart,256,scumandvillainy,ig88c,aggressorassaultfighter,74,3,0,0,intimidation,proximitymines,delayedfuses,,,,,,,,3,5,3,3,4,,,,
Rinehart,256,scumandvillainy,captainjostero,kihraxzfighter,42,0,0,0,,,,,,,,,,,2,5,1,3,3,,,,
Rinehart,256,scumandvillainy,overseeryushyn,modifiedtielnfighter,26,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Rinehart,256,scumandvillainy,skullsquadronpilot,fangfighter,56,1,0,0,plasmatorpedoes,,,,,,,,,,3,4,0,3,4,,,,
Chris Allen,256,firstorder,rush,tievnsilencer,62,1,0,0,clustermissiles,,,,,,,,,,3,4,2,3,2,,,,
Chris Allen,256,firstorder,lieutenanttavson,upsilonclassshuttle,90,4,0,0,gnkgonkdroid,generalhux,jammingbeam,advancedsensors,,,,,,,1,6,6,4,3,,,,
Chris Allen,256,firstorder,zetasquadronsurvivor,tiesffighter,48,2,0,0,specialforcesgunner,staticdischargevanes,,,,,,,,,2,3,3,2,2,,,,
David Secretain,256,scumandvillainy,blacksunsoldier,z95af4headhunter,28,1,0,0,cloakingdevice,,,,,,,,,,2,2,2,2,3,,,,
David Secretain,256,scumandvillainy,cartelexecutioner,m12lkimogilafighter,68,5,0,0,protontorpedoes,ionmissiles,r3astromech,feedbackarray,stealthdevice,,,,,,1,7,2,3,3,,,,
David Secretain,256,scumandvillainy,fennrau,fangfighter,71,1,0,0,fearless,,,,,,,,,,3,4,0,3,6,,,,
David Secretain,256,scumandvillainy,ndrusuhlak,z95af4headhunter,30,0,0,0,,,,,,,,,,,2,2,2,2,4,,,,
Leif Tangstad ,256,rebelalliance,kullbeesperado,t65xwing,54,3,0,0,intimidation,hullupgrade,servomotorsfoils,,,,,,,,2,5,2,3,4,,,,
Leif Tangstad ,256,rebelalliance,braylenstramm,asf01bwing,60,3,0,0,jammingbeam,iontorpedoes,stabilizedsfoils,,,,,,,,1,4,4,3,4,,,,
Leif Tangstad ,256,rebelalliance,ezrabridger,attackshuttle,47,2,1,1,instinctiveaim,stealthdevice,,,,,,,,,2,3,1,3,3,instinctiveaim,,,
Leif Tangstad ,256,rebelalliance,phoenixsquadronpilot,rz1awing,36,1,0,0,snapshot,,,,,,,,,,3,2,2,2,1,,,,
Jukequeline,256,scumandvillainy,landocalrissian,customizedyt1300lightfreighter,56,1,0,0,protonrockets,,,,,,,,,,1,8,3,2,4,,,,
Jukequeline,256,scumandvillainy,bountyhunter,firesprayclasspatrolcraft,62,0,0,0,,,,,,,,,,,2,6,4,3,2,,,,
Jukequeline,256,scumandvillainy,ketsuonyo,lancerclasspursuitcraft,74,2,0,0,swarmtactics,shadowcaster,,,,,,,,,2,8,2,3,5,,,,
Charles Holcomb,256,galacticrepublic,bravoflightofficer,nabooroyaln1starfighter,40,1,0,0,r2astromech,,,,,,,,,,2,3,2,2,2,,,,
Charles Holcomb,256,galacticrepublic,ahsokatano,delta7aethersprite,69,2,0,0,supernaturalreflexes,delta7b,,,,,,,,,2,3,3,3,3,,,,
Charles Holcomb,256,galacticrepublic,wolffe,arc170starfighter,50,0,0,0,,,,,,,,,,,1,6,3,3,4,,,,
Charles Holcomb,256,galacticrepublic,broadside,btlbywing,41,1,0,0,ioncannonturret,,,,,,,,,,1,5,3,2,3,,,,
Mike Maurer,256,galacticempire,delmeeko,tielnfighter,36,1,0,0,afterburners,,,,,,,,,,3,3,0,2,4,,,,
Mike Maurer,256,galacticempire,seventhsister,tieadvancedv1,45,1,0,0,firecontrolsystem,,,,,,,,,,3,2,2,2,4,,,,
Mike Maurer,256,galacticempire,scarifbasepilot,tiereaper,53,1,0,0,darthvader,,,,,,,,,,1,6,2,3,1,,,,
Mike Maurer,256,galacticempire,planetarysentinel,tieskstriker,31,0,0,0,,,,,,,,,,,2,4,0,3,1,,,,
Mike Maurer,256,galacticempire,onyxsquadronscout,tieagaggressor,33,1,0,0,ioncannonturret,,,,,,,,,,2,4,1,2,3,,,,
Steven Sior,256,rebelalliance,herasyndulla-vcx100lightfreighter,vcx100lightfreighter,105,5,0,0,dorsalturret,kananjarrus,novicetechnician,hansolo,ghost,,,,,,0,10,4,4,5,,,,
Steven Sior,256,rebelalliance,norrawexley,arc170starfighter,61,1,0,0,advprotontorpedoes,,,,,,,,,,1,6,3,3,5,,,,
Steven Sior,256,rebelalliance,arvelcrynyd,rz1awing,34,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Fun Wok,256,resistance,resistancesympathizer,scavengedyt1300,60,0,0,0,,,,,,,,,,,1,8,3,3,2,,,,
